structure,operation,n,avg_time_us
unsorted_array,min,32000,99.948000
unsorted_array,predecessor,32000,248.796500
unsorted_array,successor,32000,214.325500
sorted_array,search,32000,0.379000
sorted_array,insert,32000,242.694000
sorted_array,delete,32000,105.797000
sorted_array,max,32000,0.006000
sorted_array,min,32000,0.005000
sorted_array,predecessor,32000,0.381000
sorted_array,successor,32000,0.369500
sll_unsorted,search,32000,75.339000
sll_unsorted,insert,32000,0.078000
sll_unsorted,delete,32000,77.198000
sll_unsorted,max,32000,161.450500
sll_unsorted,min,32000,162.093500
sll_unsorted,predecessor,32000,293.468500
sll_unsorted,successor,32000,296.057500
sll_sorted,search,32000,339.446500
sll_sorted,insert,32000,0.085000
sll_sorted,delete,32000,672.317000
sll_sorted,max,32000,701.980500
sll_sorted,min,32000,0.005000
sll_sorted,predecessor,32000,344.075000
sll_sorted,successor,32000,315.177000
dll_unsorted,search,32000,64.847500
dll_unsorted,insert,32000,0.080000
dll_unsorted,delete,32000,0.047000
dll_unsorted,max,32000,154.014500
dll_unsorted,min,32000,155.966000
dll_unsorted,predecessor,32000,277.602000
dll_unsorted,successor,32000,286.429500
dll_sorted,search,32000,343.014000
dll_sorted,insert,32000,0.085500
dll_sorted,delete,32000,0.081500
dll_sorted,max,32000,0.005000
dll_sorted,min,32000,0.004500
dll_sorted,predecessor,32000,353.374000
dll_sorted,successor,32000,339.073000
